Sample,Total (Raw),e-μ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800,348237,187055,25279,50219,111557,8593,6655,1006,2160,16753,6972
ggH_HWW,2946000,221673,162489,96414,44036,22039,42480,17770,1297,837,304,47
WW,2900000,298557,201677,119881,57222,24574,79039,29680,1920,2382,1535,219
Top_antitop,137367000,5686357,4647427,156945,979655,3510827,42659,105099,22466,42168,470611,234120
DY_to_Tau_Tau,82448537,85172,10512,2189,5455,2868,117,104,10,58,195,16
fakes,226680227,176778,132809,2574,16217,114018,231,547,315,330,6136,6947
ggWW,17662000,2761997,2209894,1312745,667325,229824,904840,405442,20465,28010,16829,1910
Diboson,15551954,31695,20997,3907,6004,11086,1646,1506,140,141,171,50
VG,34915878,65357,22920,7366,10309,5245,1725,1405,89,149,259,28
TOTAL (MC),520471596,9327586,7408725,1702021,1786223,3920481,1072737,561553,46702,74075,496040,243337
