Sample,Total (Raw),e-μ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800.00,348237.00,187055.00,25279.00,50219.00,111557.00,8593.00,6655.00,1006.00,2160.00,16753.00,6972.00
ggH_HWW,14021.04,1033.00,756.97,449.76,204.81,102.39,196.59,82.12,5.99,3.92,1.41,0.22
WW,165533.88,16664.46,11263.91,6692.28,3196.90,1374.73,4394.26,1653.13,107.01,134.07,85.30,12.19
Top_antitop,3161428.13,164534.43,134663.62,5443.48,30835.81,98384.32,1664.92,3539.95,674.05,1375.45,14672.60,6599.32
DY_to_Tau_Tau,81899713.16,83311.97,10301.95,2164.98,5336.62,2800.35,114.62,101.08,9.72,57.32,189.82,15.83
fakes,841310788.36,29188.36,17639.02,9754.01,3165.20,4719.82,1412.75,335.05,30.87,447.32,375.91,244.24
ggWW,8026.59,1223.60,979.16,581.51,295.69,101.96,399.26,179.00,9.05,12.49,7.46,0.85
Diboson,360858.57,1141.30,763.88,264.89,275.54,223.45,116.23,102.70,8.78,9.84,8.18,1.99
VG,7293536.26,7583.91,2707.73,1226.05,937.94,543.74,292.74,189.71,18.66,30.04,25.85,1.42
TOTAL (MC),934213905.99,304681.04,179076.25,26576.96,44248.51,108250.77,8591.36,6182.75,864.14,2070.44,15366.53,6876.06
